# cat /proc/partitions

major minor  #blocks  name

 252        0     204800 zram0
 179        0   15388672 mmcblk0
 179        1        256 mmcblk0p1
 179        2       3712 mmcblk0p2
 179        3       4096 mmcblk0p3
 179        4       4096 mmcblk0p4
 179        5       8192 mmcblk0p5
 179        6      32768 mmcblk0p6
 179        7      12288 mmcblk0p7
 179        8       4096 mmcblk0p8
 179        9      16384 mmcblk0p9
 179       10      16384 mmcblk0p10
 179       11       8192 mmcblk0p11
 179       12      65536 mmcblk0p12
 179       13       8192 mmcblk0p13
 179       14       8192 mmcblk0p14
 179       15     262144 mmcblk0p15
 179       16     524288 mmcblk0p16
 179       17     524288 mmcblk0p17
 179       18      16384 mmcblk0p18
 179       19      16384 mmcblk0p19
 179       20      16384 mmcblk0p20
 179       21      16384 mmcblk0p21
 179       22   13819904 mmcblk0p22
 179       64       4096 mmcblk0boot1
 179       32       4096 mmcblk0boot0
  31        0       4096 mtdblock0
